FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,LANGN_Other,REPEAT_Repeated at lease once,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Native student,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Male,additional_math_classes_No,additional_math_classes_Yes,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
0.32402686790821406,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.1922,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.594801809646869,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.4181,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.8126447268338709,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.6995,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.07004709110893283,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.0997,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-1.1280204490920773,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.4631,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.1274125056918753,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.8762,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.23708396942074958,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.9626,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.9490028470213496,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.1138,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.6244510387570881,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.7889,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.4603448918987263,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0708,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.6100807925409597,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.234,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.25307006903915175,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.6918,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.06055946616736158,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0633,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.4510271032058609,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.2933,-0.966,0.4883,-0.4675,2.0,1,1,1,1
