Gender,PROGN,IMMIG,LANGN,REPEAT,FAMSUP,ESCS,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
Male,Technical,Native student,Italian,Repeated at lease once,,-1.1397,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Female,Technical,Immig student,Italian,Never repeated,0.5203,-0.3116,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Male,Technical,Native student,Italian,Never repeated,-0.0684,-1.5446,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Female,Technical,Native student,Italian,Never repeated,,0.749,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Male,Technical,Immig student,,,,,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Female,Technical,Native student,Italian,Never repeated,0.7472,-0.7958,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Male,Technical,Native student,Italian,Never repeated,-0.7797,-1.4995,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Male,Technical,Native student,Italian,Never repeated,-0.6156,-0.6501,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Male,Technical,Native student,Italian,Never repeated,,-1.3069,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Female,Technical,Native student,Italian,Never repeated,1.7365,0.5304,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
Female,Technical,Native student,Italian,Never repeated,,0.3664,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2.0,Middle
